minimum_nights,number_of_reviews,availability_365,amenity_score,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Unknown,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_Unknown
-0.2540934336155736,-0.28601105555469336,-0.8668399580470331,0.3294823657396572,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.3052815711778505,2.894532727445164,1.7228074035349803,1.097371482361297,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.3052815711778505,-0.37623924798022124,-0.8515618025214755,0.07006036688099522,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2540934336155736,-0.4664674404057491,-0.8668399580470331,1.299720641471053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.1791744181281787,-0.511581536618513,-0.49252514767087185,-1.2374265073666613,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2540934336155736,-0.511581536618513,-0.8668399580470331,-0.5681177503113132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.20290529605329677,0.7967272535516409,-0.8668399580470331,-1.9897503040567814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.10052902092874304,0.1876869546793279,-0.8668399580470331,-2.072765343691553,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0018472541958106992,1.0448547827218424,-0.5307205364847658,0.5577737247352798,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2540934336155736,1.383210504317572,1.5089132261771738,-0.9364969886906134,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.1791744181281787,0.2328010508920918,0.5769457391181602,1.1492558821330294,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.20290529605329677,1.0222977346154605,-0.8439227247586967,-0.37095703117873025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
